team_id_master,team,state,gender,age_group,component_id,component_size,degree
69080f209752,Sting Red '15,PA,M,U11,0,23630,23
b230cecae084,2015 Cyclone Boys Black,FL,M,U11,0,23630,24
15644de0026e,Almaden FC Mercury B15 White,CA,M,U11,0,23630,22
6a90d026a35f,WI Sharks B2015,NY,M,U11,0,23630,17
3a24354e3fb2,HVAA 2015B Fury,PA,M,U11,0,23630,31
f24e2a15a0a7,Boston Bolts B2015 BUFC Red,MA,M,U11,0,23630,18
2ef03156147d,Lightning B2015,NY,M,U11,0,23630,15
671137703c76,Napa United Pre-Academy 15B Elite l,CA,M,U11,0,23630,35
f0048417b347,SF Glens Academy 15B Pre-MLS II Celtic,CA,M,U11,0,23630,28
29d84199aaa8,BRYC Academy '15B Teal,VA,M,U11,0,23630,18
3c2bd3845260,Union County FC Roma 2015B,NJ,M,U11,0,23630,28
73f3f34121aa,FDI 2015,AZ,M,U11,0,23630,17
d734d6fd2623,Juventus,NY,M,U11,0,23630,12
cda0db8c745c,Black Conshy '15 (B),PA,M,U11,0,23630,30
80ff566916a2,CSA 15B Premier,MD,M,U11,0,23630,21
caf620e7a87d,Deportivo Cali Doral 2015 Elite Redin,FL,M,U11,0,23630,32
6aaf91a431f9,B2015 LB Cardenas #1,CA,M,U11,0,23630,34
61895e789b1c,BUSA '15 Blue,MD,M,U11,0,23630,19
dd1cb6594eb2,Storm 2015,NJ,M,U11,0,23630,14
6ae14ba0094c,Legacy 2015 Boys Black,NJ,M,U11,0,23630,22
8656493903ef,MIFC 2015 Elite Boys,MA,M,U11,0,23630,21
ae2f8400880a,USC Pulisic Blues 15,NJ,M,U11,0,23630,23
9605d5340d13,Winslow Titans 2015,NJ,M,U11,0,23630,14
0139687638f6,Michigan Tigers 2015 Boys Pre-MLS Next (Gold),MI,M,U11,0,23630,20
d89debbd0aa6,HB B15 Castaneda,CA,M,U11,0,23630,25
9ca5d45ddfa2,Elite Green 15,CA,M,U11,0,23630,31
cda8d927b06e,KHPA1 New Albany B15,OH,M,U11,0,23630,24
ed73f0be16a9,15B Gray,PA,M,U11,0,23630,26
d5f82c88f4ac,Elk Grove United SC 15B Premier VQ,CA,M,U11,0,23630,27
6a382a45b2dd,Idaho Juniors 15B Neon,ID,M,U11,0,23630,22
5d2bbcf14a8c,EOC Wolves,NY,M,U11,0,23630,15
7365f78f69d0,PYSC 2015,NY,M,U11,0,23630,14
e50b68876278,B2015 Academy,CA,M,U11,0,23630,29
a50681ba081a,ASG PRE MLS 2015B,FL,M,U11,0,23630,19
6c411b9d9963,Javanon 2016 Boys Black,KY,M,U11,0,23630,21
1b84430f55a1,Chargers TPA B2015 Academy Yellow,FL,M,U11,0,23630,16
1d66c136c560,Yardley Makefield Soccer 2015 Boys Leipzig,PA,M,U11,0,23630,17
7413ec576477,CAPS FC 2015B,OH,M,U11,0,23630,23
1749e2d103a3,Gallardo Academy 2015,IL,M,U11,0,23630,20
4260e2f9722d,NEFC Metro West Boys 2015 Mendon Red,MA,M,U11,0,23630,28
2d07ce7f5d35,ALBION SC San Diego B15 Academy II,CA,M,U11,0,23630,27
447e46b8a5a4,SW 2015B,MA,M,U11,0,23630,21
7fe1cdfc5f1e,Michigan Jaguars Northville 2015 U11 Boys Green,MI,M,U11,0,23630,15
f0e5afe16395,Elite Boys 2015 Red,NY,M,U11,0,23630,18
b90413b97f6d,Roadrunners SC B2015 Pre-ECNL,IL,M,U11,0,23630,18
ad68fec1f2bc,Lightning,PA,M,U11,0,23630,37
5e9045dbfab7,Lightning,NY,M,U11,0,23630,17
95d8587d5270,B2015 SB Dodds (x),CA,M,U11,0,23630,15
5a23551c9df0,Santa Clara Sporting 15B Green,CA,M,U11,0,23630,30
592e0e798e75,Union County FC Napoli 2015B,NJ,M,U11,0,23630,25
7790025fc0db,Barcelona United Premier 15B,OH,M,U11,0,23630,20
92c9a7b23474,Blast FC 2015B Black,OH,M,U11,0,23630,19
13ab879a2894,MSC LSTS Boys 2015,NY,M,U11,0,23630,33
4c849341a955,IR Academy 15B Purple,CA,M,U11,0,23630,27
5bd7770fa5b6,2015 Raptors,NJ,M,U11,0,23630,13
3b07c7ac4579,Storm B2015,CA,M,U11,0,23630,42
da590d0d2beb,Stanford Strikers 15B Red South,CA,M,U11,0,23630,17
1b658781897d,B2015--White,CA,M,U11,0,23630,22
16fb689cc51d,2015 Boys White,CA,M,U11,0,23630,35
b587ff891ffe,15B_Black,CA,M,U11,0,23630,25
67b5616ddd38,North 2015 Boys Carolina Blue,MA,M,U11,0,23630,20
b9e4f2bab36c,Sharks Academy B2015,NY,M,U11,0,23630,35
ce6fc80bab21,Napa United Pre-Academy 15B Elite II,CA,M,U11,0,23630,29
6fedaefd0d5f,WSC 15B Orange,CA,M,U11,0,23630,28
